"HERIDO","MUERTO","SOLO_DAÑOS","kmm.cluster"
58,0,20,"Accidentalidad alta"
52,1,10,"Accidentalidad alta"
95,1,274,"Accidentalidad alta"
487,2,182,"Accidentalidad media-alta"
648,5,309,"Accidentalidad media-alta"
430,2,225,"Accidentalidad media-alta"
181,0,119,"Accidentalidad alta"
87,5,21,"Accidentalidad alta"
109,0,115,"Accidentalidad alta"
130,3,64,"Accidentalidad alta"
169,0,42,"Accidentalidad alta"
217,3,87,"Accidentalidad alta"
37,0,7,"Accidentalidad alta"
41,1,37,"Accidentalidad alta"
7,0,3,"Accidentalidad alta"
467,6,144,"Accidentalidad media-alta"
27,2,13,"Accidentalidad alta"
125,1,163,"Accidentalidad alta"
144,1,240,"Accidentalidad alta"
49,1,62,"Accidentalidad alta"
83,0,162,"Accidentalidad alta"
308,3,74,"Accidentalidad alta"
370,1,82,"Accidentalidad alta"
78,1,51,"Accidentalidad alta"
479,6,268,"Accidentalidad media-alta"
424,4,533,"Accidentalidad media-alta"
1148,9,1726,"Accidentalidad baja"
74,1,51,"Accidentalidad alta"
137,3,64,"Accidentalidad alta"
7,0,2,"Accidentalidad alta"
243,4,193,"Accidentalidad media-alta"
884,7,1095,"Accidentalidad baja"
94,1,32,"Accidentalidad alta"
187,1,87,"Accidentalidad alta"
457,5,200,"Accidentalidad media-alta"
137,2,61,"Accidentalidad alta"
72,1,18,"Accidentalidad alta"
51,1,17,"Accidentalidad alta"
376,3,379,"Accidentalidad media-alta"
473,5,551,"Accidentalidad media-alta"
168,2,99,"Accidentalidad alta"
164,1,142,"Accidentalidad alta"
971,11,888,"Accidentalidad baja"
283,2,152,"Accidentalidad alta"
295,5,100,"Accidentalidad media-alta"
519,1,310,"Accidentalidad media-alta"
26,0,15,"Accidentalidad alta"
735,16,407,"Accidentalidad baja"
365,5,126,"Accidentalidad media-alta"
315,2,342,"Accidentalidad media-alta"
193,1,160,"Accidentalidad alta"
495,5,798,"Accidentalidad media-alta"
297,1,136,"Accidentalidad alta"
1508,23,1619,"Accidentalidad media"
728,6,242,"Accidentalidad media-alta"
638,3,135,"Accidentalidad media-alta"
1818,18,1786,"Accidentalidad media"
1119,7,1315,"Accidentalidad baja"
68,1,17,"Accidentalidad alta"
1510,14,544,"Accidentalidad baja"
361,2,438,"Accidentalidad media-alta"
136,1,88,"Accidentalidad alta"
75,1,76,"Accidentalidad alta"
117,2,128,"Accidentalidad alta"
0,2,0,"Accidentalidad alta"
317,4,250,"Accidentalidad media-alta"
821,20,1170,"Accidentalidad baja"
273,1,123,"Accidentalidad alta"
3,0,0,"Accidentalidad alta"
22,1,8,"Accidentalidad alta"
2,0,0,"Accidentalidad alta"
857,13,761,"Accidentalidad baja"
509,2,452,"Accidentalidad media-alta"
625,1,208,"Accidentalidad media-alta"
164,1,177,"Accidentalidad alta"
334,4,72,"Accidentalidad media-alta"
397,5,106,"Accidentalidad media-alta"
27,0,9,"Accidentalidad alta"
63,1,163,"Accidentalidad alta"
878,17,840,"Accidentalidad baja"
52,0,21,"Accidentalidad alta"
70,0,22,"Accidentalidad alta"
13,0,0,"Accidentalidad alta"
210,3,110,"Accidentalidad alta"
640,1,184,"Accidentalidad media-alta"
84,1,143,"Accidentalidad alta"
617,3,563,"Accidentalidad media-alta"
