"COMUNA","n","Porcentaje"
"La Candelaria",43532,20.84
"Laureles Estadio",23918,11.45
"Castilla",21218,10.16
"El Poblado",17153,8.21
"Guayabal",15227,7.29
"Belén",13944,6.67
"Robledo",13910,6.66
"Aranjuez",12434,5.95
"Buenos Aires",7792,3.73
"La América",6894,3.3
"Manrique",6410,3.07
"Doce de Octubre",5880,2.81
"Villa Hermosa",5490,2.63
"San Javier",3801,1.82
"Popular",3026,1.45
"Santa Cruz",2827,1.35
"Corregimiento de San Cristóbal",2082,1
"Corregimiento de San Antonio de Prado",1889,0.9
"Corregimiento de Santa Elena",1031,0.49
"Corregimiento de Altavista",453,0.22
"Corregimiento de San Sebastián de Palmitas",11,0.01
