BARRIO,HERIDO,MUERTO,SOLO_DAÑOS,kmm.cluster
Aguas Frias,58,0,20,3
Aldea Pablo VI,52,1,10,3
Alejandría,95,1,274,3
Alejandro Echavarría,487,2,182,2
Alfonso López,648,5,309,2
Altamira,430,2,225,2
Altavista,181,0,119,3
Altavista Sector Central,87,5,21,3
Altos del Poblado,109,0,115,3
Andalucía,130,3,64,3
Antonio Nariño,169,0,42,3
Aranjuez,217,3,87,3
Area De Expansion Altavista,37,0,7,3
Área de Expansión Altos de Calasanz,41,1,37,3
Area De Expansion Belen Rincon,7,0,3,3
Área de Expansión Pajarito,467,6,144,2
Área de Expansión San Antonio de Prado,27,2,13,3
Asomadera No.1,125,1,163,3
Asomadera No.2,144,1,240,3
Asomadera No.3,49,1,62,3
Astorga,83,0,162,3
Aures No.1,308,3,74,2
Aures No.2,370,1,82,2
B. Cerro El Volador,78,1,51,3
Barrio Caicedo,479,6,268,2
Barrio Colombia,424,4,533,2
Barrio Colón,1148,9,1726,4
Barrio Cristóbal,74,1,51,3
Barrios de Jesús,137,3,64,3
Batallón Girardot,7,0,2,3
Belalcázar,243,4,193,2
Belén,884,7,1095,1
Belencito,94,1,32,3
Bello Horizonte,187,1,87,3
Berlín,457,5,200,2
Bermejal-Los Alamos,137,2,61,3
Betania,72,1,18,3
Blanquizal,51,1,17,3
Bolivariana,376,3,379,2
Bomboná No.1,473,5,551,2
Bomboná No.2,168,2,99,3
Bosques de San Pablo,164,1,142,3
Boston,971,11,888,1
Boyacá,283,2,152,2
Brasilia,295,5,100,2
Buenos Aires,519,1,310,2
Buga Patio Bonito,26,0,15,3
Cabecera San Antonio de Prado,735,16,407,1
Cabecera Urbana San Cristobal,365,5,126,2
Calasanz,315,2,342,2
Calasanz Parte Alta,193,1,160,3
Calle Nueva,495,5,798,1
Campo Alegre,297,1,136,3
Campo Amor,1508,23,1619,4
Campo Valdés No.1,728,6,242,2
Campo Valdés No.2,638,3,135,2
Caribe,1818,18,1786,4
Carlos E. Restrepo,1119,7,1315,1
Carpinelo,68,1,17,3
Castilla,1510,14,544,1
Castropol,361,2,438,2
Cataluña,136,1,88,3
Cementerio Universal,75,1,76,3
Centro Administrativo,117,2,128,3
Cerro Nuribara,0,2,0,3
Cerro Nutibara,317,4,250,2
Corazón de Jesús,821,20,1170,4
Córdoba,273,1,123,3
Corregimiento de San Antonio de Prado,3,0,0,3
Corregimiento de San Cristóbal,22,1,8,3
Corregimiento de Santa Elena,2,0,0,3
Cristo Rey,857,13,761,1
Cuarta Brigada,509,2,452,2
Cucaracho,625,1,208,2
Diego Echavarría,164,1,177,3
Doce de Octubre No.1,334,4,72,2
Doce de Octubre No.2,397,5,106,2
Eduardo Santos,27,0,9,3
El Castillo,63,1,163,3
El Chagualo,878,17,840,1
El Compromiso,52,0,21,3
El Corazón,70,0,22,3
El Corazon El Morro ,13,0,0,3
El Danubio,210,3,110,3
El Diamante,640,1,184,2
El Diamante No.2,84,1,143,3
El Estadio,617,3,563,2
El Nogal-Los Almendros,165,4,187,2
El Pesebre,96,0,45,3
El Picacho,13,0,4,3
El Pinal,287,4,151,2
El Poblado,329,2,689,2
El Pomar,214,1,55,3
